Time: 2016-12-22 09:42:46 ms:548 Level: LOG INFO     Message: [PN,R,0]
Time: 2016-12-22 09:42:46 ms:549 Level: LOG INFO     Message: [0,1000]
Time: 2016-12-22 09:42:46 ms:549 Level: LOG INFO     Message: [PD,R,0]
Time: 2016-12-22 09:42:46 ms:550 Level: LOG INFO     Message: [0,10]
Time: 2016-12-22 09:42:46 ms:550 Level: LOG INFO     Message: [OM,R,0]
Time: 2016-12-22 09:42:46 ms:550 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:46 ms:550 Level: LOG INFO     Message: [CT,R,0]
Time: 2016-12-22 09:42:46 ms:551 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:46 ms:551 Level: LOG INFO     Message: [DP,R,0]
Time: 2016-12-22 09:42:46 ms:551 Level: LOG INFO     Message: [0,02]
Time: 2016-12-22 09:42:46 ms:551 Level: LOG INFO     Message: [CN,R,0]
Time: 2016-12-22 09:42:46 ms:552 Level: LOG INFO     Message: [0,2010101000]
Time: 2016-12-22 09:42:46 ms:552 Level: LOG INFO     Message: [DA,R,0]
Time: 2016-12-22 09:42:46 ms:552 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:46 ms:552 Level: LOG INFO     Message: [EM,R,0]
Time: 2016-12-22 09:42:46 ms:553 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:46 ms:553 Level: LOG INFO     Message: [SF,W,0,0]
Time: 2016-12-22 09:42:46 ms:553 Level: LOG INFO     Message: [0]
Time: 2016-12-22 09:42:46 ms:554 Level: LOG INFO     Message: [TP,W,0,2]
Time: 2016-12-22 09:42:46 ms:557 Level: LOG INFO     Message: [0]
Time: 2016-12-22 09:42:47 ms:250 Level: LOG INFO     Message: [GT,R,0]
Time: 2016-12-22 09:42:47 ms:251 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:47 ms:251 Level: LOG INFO     Message: [CT,R,0]
Time: 2016-12-22 09:42:47 ms:252 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:47 ms:252 Level: LOG INFO     Message: [OM,R,0]
Time: 2016-12-22 09:42:47 ms:252 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:47 ms:252 Level: LOG INFO     Message: [PD,R,0]
Time: 2016-12-22 09:42:47 ms:252 Level: LOG INFO     Message: [0,10]
Time: 2016-12-22 09:42:47 ms:252 Level: LOG INFO     Message: [DA,R,0]
Time: 2016-12-22 09:42:47 ms:253 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:47 ms:253 Level: LOG INFO     Message: [EM,R,0]
Time: 2016-12-22 09:42:47 ms:253 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:47 ms:253 Level: LOG INFO     Message: [DP,R,0]
Time: 2016-12-22 09:42:47 ms:254 Level: LOG INFO     Message: [0,02]
Time: 2016-12-22 09:42:47 ms:254 Level: LOG INFO     Message: [CN,R,0]
Time: 2016-12-22 09:42:47 ms:254 Level: LOG INFO     Message: [0,2010101000]
Time: 2016-12-22 09:42:52 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:52 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:52 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:53 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:53 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:53 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:54 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:54 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:54 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:55 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:55 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:55 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:56 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:56 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:56 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:57 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:57 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:57 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:58 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:58 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:58 ms:059 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:58 ms:709 Level: LOG INFO     Message: [ST,R,0]
Time: 2016-12-22 09:42:58 ms:710 Level: LOG INFO     Message: [0,000003E8]
Time: 2016-12-22 09:42:58 ms:710 Level: LOG INFO     Message: [NT,R,0]
Time: 2016-12-22 09:42:58 ms:710 Level: LOG INFO     Message: [0,03E8]
Time: 2016-12-22 09:42:58 ms:710 Level: LOG INFO     Message: [LC,R,0]
Time: 2016-12-22 09:42:58 ms:711 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:42:58 ms:711 Level: LOG INFO     Message: [ED,R,0]
Time: 2016-12-22 09:42:58 ms:711 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:42:58 ms:711 Level: LOG INFO     Message: [CN,R,0]
Time: 2016-12-22 09:42:58 ms:712 Level: LOG INFO     Message: [0,2010101000]
Time: 2016-12-22 09:42:59 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:59 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:59 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:59 ms:557 Level: LOG INFO     Message: [EG,R,0]
Time: 2016-12-22 09:42:59 ms:557 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:557 Level: LOG INFO     Message: [BS,R,0]
Time: 2016-12-22 09:42:59 ms:558 Level: LOG INFO     Message: [0,0000]
Time: 2016-12-22 09:42:59 ms:558 Level: LOG INFO     Message: [EB,R,0]
Time: 2016-12-22 09:42:59 ms:558 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:558 Level: LOG INFO     Message: [EL,R,0]
Time: 2016-12-22 09:42:59 ms:559 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:559 Level: LOG INFO     Message: [LM,R,0]
Time: 2016-12-22 09:42:59 ms:559 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:559 Level: LOG INFO     Message: [TD,R,0]
