Time: 2021-01-23 10:35:34 ms:350 Level: LOG INFO     Message: [PN,R,0]
Time: 2021-01-23 10:35:34 ms:361 Level: LOG INFO     Message: [0,0380]
Time: 2021-01-23 10:35:34 ms:361 Level: LOG INFO     Message: [PD,R,0]
Time: 2021-01-23 10:35:34 ms:372 Level: LOG INFO     Message: [0,10]
Time: 2021-01-23 10:35:34 ms:372 Level: LOG INFO     Message: [OM,R,0]
Time: 2021-01-23 10:35:34 ms:383 Level: LOG INFO     Message: [0,03]
Time: 2021-01-23 10:35:34 ms:383 Level: LOG INFO     Message: [CT,R,0]
Time: 2021-01-23 10:35:34 ms:394 Level: LOG INFO     Message: [0,05]
Time: 2021-01-23 10:35:34 ms:394 Level: LOG INFO     Message: [DP,R,0]
Time: 2021-01-23 10:35:34 ms:405 Level: LOG INFO     Message: [0,07]
Time: 2021-01-23 10:35:34 ms:405 Level: LOG INFO     Message: [CN,R,0]
Time: 2021-01-23 10:35:34 ms:416 Level: LOG INFO     Message: [0,0000000700]
Time: 2021-01-23 10:35:34 ms:416 Level: LOG INFO     Message: [DA,R,0]
Time: 2021-01-23 10:35:34 ms:427 Level: LOG INFO     Message: [0,00]
Time: 2021-01-23 10:35:34 ms:427 Level: LOG INFO     Message: [EM,R,0]
Time: 2021-01-23 10:35:34 ms:438 Level: LOG INFO     Message: [0,01]
Time: 2021-01-23 10:35:34 ms:438 Level: LOG INFO     Message: [SF,W,0,0]
Time: 2021-01-23 10:35:34 ms:440 Level: LOG INFO     Message: [0]
Time: 2021-01-23 10:35:34 ms:440 Level: LOG INFO     Message: [TP,W,0,2]
Time: 2021-01-23 10:35:34 ms:441 Level: LOG INFO     Message: [0]
Time: 2021-01-23 10:35:34 ms:498 Level: LOG INFO     Message: [GT,R,0]
Time: 2021-01-23 10:35:34 ms:509 Level: LOG INFO     Message: [0,00]
Time: 2021-01-23 10:35:34 ms:510 Level: LOG INFO     Message: [CT,R,0]
Time: 2021-01-23 10:35:34 ms:520 Level: LOG INFO     Message: [0,05]
Time: 2021-01-23 10:35:34 ms:521 Level: LOG INFO     Message: [OM,R,0]
Time: 2021-01-23 10:35:34 ms:531 Level: LOG INFO     Message: [0,03]
Time: 2021-01-23 10:35:34 ms:532 Level: LOG INFO     Message: [PD,R,0]
Time: 2021-01-23 10:35:34 ms:543 Level: LOG INFO     Message: [0,10]
Time: 2021-01-23 10:35:34 ms:544 Level: LOG INFO     Message: [DP,R,0]
Time: 2021-01-23 10:35:34 ms:554 Level: LOG INFO     Message: [0,07]
Time: 2021-01-23 10:35:34 ms:554 Level: LOG INFO     Message: [DA,R,0]
Time: 2021-01-23 10:35:34 ms:565 Level: LOG INFO     Message: [0,00]
Time: 2021-01-23 10:35:34 ms:566 Level: LOG INFO     Message: [CN,R,0]
Time: 2021-01-23 10:35:34 ms:576 Level: LOG INFO     Message: [0,0000000700]
Time: 2021-01-23 10:35:39 ms:602 Level: LOG INFO     Message: [SF,W,0,0]
Time: 2021-01-23 10:35:39 ms:603 Level: LOG INFO     Message: [0]
Time: 2021-01-23 10:35:39 ms:605 Level: LOG INFO     Message: [SF,W,0,1]
Time: 2021-01-23 10:35:39 ms:607 Level: LOG INFO     Message: [0]
Time: 2021-01-23 10:35:43 ms:040 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:041 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:043 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:044 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:046 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:048 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:050 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:052 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:054 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:056 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:058 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:060 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:062 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:064 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:066 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:068 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:070 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:072 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:074 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:076 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:078 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:080 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:082 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:083 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:085 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:087 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:089 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:091 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:093 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:095 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:097 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:099 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:101 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:102 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:104 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:106 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:108 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:110 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:112 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:113 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:115 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:117 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:119 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:121 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:123 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:125 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:126 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:128 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:129 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:131 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:133 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:135 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:137 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:139 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:140 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:142 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:144 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:146 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:147 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:149 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:151 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:153 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:155 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:156 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:157 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:159 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:160 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:161 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:163 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:164 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:166 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:167 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:169 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:171 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:173 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:175 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:177 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:179 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:181 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:183 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:184 Level: LOG WARNING  Message: Packet pool is full
Time: 2021-01-23 10:35:43 ms:186 Level: LOG WARNING  Message: Packet pool is full
